DATE,BRAINTREE,CHECKOUT,KLARNA,STRIPE
01/08,0,0,0,0
02/08,0,0,0,0
03/08,0,0,0,0
04/08,0,0,0,0
05/08,0,0.84,0,0
06/08,0,0,0,0
07/08,0,0,0,0
08/08,0,0,0,0
09/08,0,0,0,0
10/08,0,0,0,0
11/08,0,0,0,0
12/08,0,0,0,0
13/08,0,55.42,0,0
14/08,0,1019.96,0,0
15/08,0,8247.58,0,0
16/08,0,4075.2400000000002,0,0
17/08,0,267.19,0,0
18/08,0,481.48,0,0
19/08,0,24129.9,0,0
20/08,0,16782.15,0,0
21/08,0,20477.010000000002,0,0
22/08,0,24975.06,0,0
23/08,0,30689.13,0,0
24/08,0,10529.93,0,0
25/08,0,10308.75,0,0
26/08,0,38039.08,0,0
27/08,0,24546.86,0,0
28/08,0,14338.58,0,0
29/08,0,17555.0,0,0
30/08,0,15518.91,0,0
31/08,0,6170.280000000001,0,0
