DATE,BRAINTREE,CHECKOUT,KLARNA,STRIPE
01/08,444653.860,0,00.16,0
02/08,401977.840,0,031.490000000000002,0
03/08,267638.180,0,01.26,0
04/08,336950.720,0,013.56,0
05/08,391180.16,2.52,5.19,4.34
06/08,434410.630,0,013.73,0.98
07/08,304491.00,0,020.42,2.45
08/08,498738.040,0,013.440000000000001,8.19
09/08,475530.279999999970,0,016.02,4.34
10/08,509392.20,0,04.2700000000000005,1.4
11/08,432702.780,0,0,0
12/08,494170.050,0,0597.74,0.84
13/08,557632.99,151.15,1843.73,1.3
14/08,527188.71,1097.02,4704.95,0.49
15/08,500141.94,17215.55,6021.17,0
16/08,522148.09,6555.46,4309.27,0.84
17/08,382690.36,958.25,6204.43,0
18/08,446640.0,1396.08,8419.46,0.84
19/08,568571.1900000001,58816.46,5895.23,4.26
20/08,610150.63,38331.67,5889.66,1.47
21/08,541803.08,41108.58,6668.31,0
22/08,554810.92,57517.17,6992.18,52.55
23/08,584047.49,63631.56,11348.39,312.46
24/08,486788.97,22695.99,13969.58,340.65999999999997
25/08,603446.65,22019.29,22419.079999999998,183.24
26/08,733222.84,82345.33,19642.23,187.17
27/08,671373.78,52767.25,24022.11,159.43
28/08,708734.12,31817.71,36179.979999999996,188.62
29/08,584539.64,40883.78,39773.89,156.93
30/08,724665.83,33080.41,47675.52,224.25
31/08,483512.01,13083.94,39698.28,217.39
