,DATE,WEEKDAY,WEEK,size
0,01/08,Monday,32,444654.02
1,02/08,Tuesday,32,402009.33
2,03/08,Wednesday,32,267639.44
3,04/08,Thursday,32,336964.27999999997
4,05/08,Friday,32,391192.21
5,06/08,Saturday,32,434425.34
6,07/08,Sunday,32,304513.87
7,08/08,Monday,33,498759.67
8,09/08,Tuesday,33,475550.64
9,10/08,Wednesday,33,509397.87
10,11/08,Thursday,33,432702.78
11,12/08,Friday,33,494768.63
12,13/08,Saturday,33,559629.17
13,14/08,Sunday,33,532991.17
14,15/08,Monday,34,523378.66
15,16/08,Tuesday,34,533013.66
16,17/08,Wednesday,34,389853.04
17,18/08,Thursday,34,456456.38
18,19/08,Friday,34,633287.14
19,20/08,Saturday,34,654373.43
20,21/08,Sunday,34,589579.97
21,22/08,Monday,35,619372.82
22,23/08,Tuesday,35,659339.9
23,24/08,Wednesday,35,523795.2
24,25/08,Thursday,35,648068.26
25,26/08,Friday,35,835397.57
26,27/08,Saturday,35,748322.57
27,28/08,Sunday,35,776920.43
