,DATE,WEEK,COUNTRY, TRUE_AMOUNT_GBP 
1238,30/08/2021,36,United Kingdom of Great Britain and Northern Ireland,532021.95
1082,28/08/2021,35,United Kingdom of Great Britain and Northern Ireland,514608.22000000003
924,26/08/2021,35,United Kingdom of Great Britain and Northern Ireland,499894.57
829,25/08/2021,35,United Kingdom of Great Britain and Northern Ireland,471340.94
460,20/08/2021,34,United Kingdom of Great Britain and Northern Ireland,468614.42
1006,27/08/2021,35,United Kingdom of Great Britain and Northern Ireland,458505.59
263,16/08/2021,34,United Kingdom of Great Britain and Northern Ireland,439637.43
155,13/08/2021,33,United Kingdom of Great Britain and Northern Ireland,438149.79
1163,29/08/2021,36,United Kingdom of Great Britain and Northern Ireland,427855.85
697,23/08/2021,35,United Kingdom of Great Britain and Northern Ireland,424576.25
384,19/08/2021,34,United Kingdom of Great Britain and Northern Ireland,414902.28
114,10/08/2021,33,United Kingdom of Great Britain and Northern Ireland,405291.99
90,08/08/2021,33,United Kingdom of Great Britain and Northern Ireland,403958.51
534,21/08/2021,34,United Kingdom of Great Britain and Northern Ireland,391991.85
220,15/08/2021,34,United Kingdom of Great Britain and Northern Ireland,389991.11
615,22/08/2021,35,United Kingdom of Great Britain and Northern Ireland,385148.36
139,12/08/2021,33,United Kingdom of Great Britain and Northern Ireland,377495.99
302,18/08/2021,34,United Kingdom of Great Britain and Northern Ireland,373476.91
170,14/08/2021,33,United Kingdom of Great Britain and Northern Ireland,368825.4
763,24/08/2021,35,United Kingdom of Great Britain and Northern Ireland,368674.41
1294,31/08/2021,36,United Kingdom of Great Britain and Northern Ireland,366883.54
103,09/08/2021,33,United Kingdom of Great Britain and Northern Ireland,360309.71
127,11/08/2021,33,United Kingdom of Great Britain and Northern Ireland,356219.4
10,01/08/2021,32,United Kingdom of Great Britain and Northern Ireland,346267.33
66,06/08/2021,32,United Kingdom of Great Britain and Northern Ireland,340333.8
284,17/08/2021,34,United Kingdom of Great Britain and Northern Ireland,331683.15
19,02/08/2021,32,United Kingdom of Great Britain and Northern Ireland,310208.41
54,05/08/2021,32,United Kingdom of Great Britain and Northern Ireland,308103.31
41,04/08/2021,32,United Kingdom of Great Britain and Northern Ireland,274526.12
76,07/08/2021,32,United Kingdom of Great Britain and Northern Ireland,231128.53
29,03/08/2021,32,United Kingdom of Great Britain and Northern Ireland,206919.56
925,26/08/2021,35,United States of America,138103.06
1007,27/08/2021,35,United States of America,113037.22
1044,28/08/2021,35,Ireland,110369.25
698,23/08/2021,35,United States of America,101364.29000000001
616,22/08/2021,35,United States of America,99463.79000000001
1239,30/08/2021,36,United States of America,97439.65000000001
385,19/08/2021,34,United States of America,92618.55
965,27/08/2021,35,Ireland,92031.97
535,21/08/2021,34,United States of America,86374.32
876,26/08/2021,35,Ireland,84518.92
1197,30/08/2021,36,Ireland,79995.01
171,14/08/2021,33,United States of America,78768.83
1083,28/08/2021,35,United States of America,78626.3
1164,29/08/2021,36,United States of America,77711.79000000001
419,20/08/2021,34,Ireland,73923.95
140,12/08/2021,33,United States of America,71602.87
764,24/08/2021,35,United States of America,70139.54
1124,29/08/2021,36,Ireland,69617.14
115,10/08/2021,33,United States of America,67550.45
461,20/08/2021,34,United States of America,67081.76
221,15/08/2021,34,United States of America,63995.11
104,09/08/2021,33,United States of America,63916.07
156,13/08/2021,33,United States of America,63264.11
574,22/08/2021,35,Ireland,63210.67
20,02/08/2021,32,United States of America,62342.56
161,14/08/2021,33,Ireland,61751.81
830,25/08/2021,35,United States of America,60886.43
11,01/08/2021,32,United States of America,60541.29
67,06/08/2021,32,United States of America,59742.81
91,08/08/2021,33,United States of America,59653.55
1266,31/08/2021,36,Ireland,58063.9
657,23/08/2021,35,Ireland,56369.54
792,25/08/2021,35,Ireland,54522.17
497,21/08/2021,34,Ireland,52992.71
55,05/08/2021,32,United States of America,49768.36
1295,31/08/2021,36,United States of America,48399.24
342,19/08/2021,34,Ireland,47191.39
192,15/08/2021,34,Ireland,45713.37
730,24/08/2021,35,Ireland,44351.88
264,16/08/2021,34,United States of America,40312.38
1187,30/08/2021,36,Germany,40098.03
77,07/08/2021,32,United States of America,38499.2
145,13/08/2021,33,Ireland,37844.72
128,11/08/2021,33,United States of America,37010.02
30,03/08/2021,32,United States of America,36378.04
42,04/08/2021,32,United States of America,35998.09
1116,29/08/2021,36,Germany,34133.67
239,16/08/2021,34,Ireland,31442.35
1031,28/08/2021,35,Germany,31046.85
133,12/08/2021,33,Ireland,31013.98
96,09/08/2021,33,Ireland,30068.18
1262,31/08/2021,36,Germany,29227.019999999997
120,11/08/2021,33,Ireland,28215.62
293,18/08/2021,34,Ireland,26814.81
1,01/08/2021,32,Ireland,26787.57
61,06/08/2021,32,Ireland,26168.88
70,07/08/2021,32,Ireland,24391.35
303,18/08/2021,34,United States of America,23659.39
108,10/08/2021,33,Ireland,23630.41
276,17/08/2021,34,Ireland,23321.27
285,17/08/2021,34,United States of America,22759.77
81,08/08/2021,33,Ireland,20453.04
46,05/08/2021,32,Ireland,19957.48
957,27/08/2021,35,Germany,19234.28
14,02/08/2021,32,Ireland,18107.69
785,25/08/2021,35,Germany,17785.93
23,03/08/2021,32,Ireland,16925.56
1169,30/08/2021,36,Australia,16894.96
933,27/08/2021,35,Australia,16312.07
