,DATE,WEEK,COUNTRY,PAYMENT_ID
27,03/08/2021,32,Sweden,ffd49e2d
1011,27/08/2021,35,Virgin Islands (U.S.),ffcc9469bd20b862
806,25/08/2021,35,Norway,ffc8b6050ed7acf54b6a8e68f8538cea426094a395e198b51b559b4ee714894e4907ab27d262a59f4fdaafd5c96da10b4f4fadbed259b766c151b24a906e8cdd106ba0f89726af1df676879f2097acd3561cafe6efa484b17890adbaa4a88e02f3eb8e363c75ae3c4c27b9453678bf970d0baabc8e14961094459d4658d8b011237bae502652942cdbf0a05c150f9a58bf65b903f6bc8106ad6ba14e0a4296889274b63bb71ea4ca3afc940d90d79f00250ea86d37da8271086aa41a11f3bbb485f693b59e4ea858
1247,31/08/2021,36,Barbados,ff71b3c6e7779e7803659c1c64abb3e4
1155,29/08/2021,36,South Africa,ff329d1531c382b120a4a302f6438476bb10a38c
167,14/08/2021,33,Sweden,fea4bbff3742878c6fec8d9a0a209e80a454b5a72d0ab69ae3559491f3bfba5311979fa7d3399e964257ad0c0b878da391449e2e035fbfe4befb8de953cda3afe6e7afdbf20cb96c8967a93ff629bee8788aad63bc15a249f0be9bf98ff39c79ed8caecfacd38f4a3d52a98eec138e48b0d58e8e78c0926b09bca2a788f8bf45424da5e21127ace11d01be3e0f32a191d4d4ac1043df923bf22ab6ffe1a4be5015ddaa219f97878e2ee9b829390189228c36b8095286a38e41c89731aca3a01acc5187f12feebf08fc8e8a812bea82bde3f3b321df728ad6269bb22ebf99bb97d13eae3533fa976a0acaa35e86e0850922c2931f9098b6150232a94eb9ed9dea5744a92e068dbfbd4bd18d0d70008b88d67685839d0e82ea6118a1c391d9bb390ac5b3e9ae428a96b0f6b02460cbb42e5642bdba84ebb81ff4d3bf01b0699a5ccee4832365988446bdfaa63f7335833e91c4a7b05abf9c3c3124930a68f29575a2a9ae86b4a4863e7301bed31766ab3eb20898ede26197094a99a5d7d74da64c16a2bc7abc6f803162e58b142d16b917cdd0a24f99fd8b240b6e84e659a2b158a37c8d2f7730920641acbb3c2ebe9a7601079f9c98f58731a53ea15e45af8e8677aa8aad2a599973222ba6f06bc286a26e27bcba41d494b613409f7c10468c0b1941b60ed49fabef477980906788b69e8387a34cbd42a7108ace96b43dba86d81f6c8a91d2e0a801f7738123268eb3ddfa08874992f4a713ef7f852890d8bc057338becd55738ea21698b615aad4ab1df6d8a7a698e88cc2a6aca09192ab8771001aabf41ca98900533ebd2f596d97caec65939597cbbd5a299da379d982a9cdd597ad5ab2aeb41bc036a693f651844ffd4881e902f38ff193ceaf45d1e0a7dd5e08ab38fae7a616a34e98486c13958bafd5930fb2f58309decfa5dab3619c29113da0446db1b8347071bd795f1aa1364add973a5525b53d3114b090ae52b9fb29d9ad84110f91758cb48262a77c875e4daa9dd8c85791b246f7967829d18eb124248a25892799b1fa57b24c1f9783e33e8ebddabf76b8c3a5729059a296a0358514a5ab5c5a86a2121e80c198b089ecfab687b3eb2a9b68580da018e054a02f1c1e9dda4a88b62dffdd9c08a2989337c0e4a5352f3c9ca591d5af0c1f00aaa11a4f9262e83898de2b05b2a38dbe93191a238850768a9947e1c09d50c484bc077a09b997d2468960c8ebae6ea38698860e848b61222aa17b0c8a92e48dd8ab1fb157b5c33eed85a31c518f5dbb8ca214511aa2fba855bdfb8ed899c2fde4aff7d95bbecbdd949ce28a0ea95ef9ffafa90625a26919d884f6bfd69622dc6fb0a9c484ab6a8ed5b8dad97389079bf29cba0c96ba85aca1a4a78afd955b3f78aec16f74a05bfd9fb0f5a98cab77937ab303872e84a63324b0e260f985543582b631ee1691bab893bb95ab569ca253c4abf8622a84af3b3493c65ff8848d2dd296352b34ac11d484b4bed370b15016a3a3926ce5a723d11f90b7b279a039659c9b59c274b2a41757bce7dcbb936be2cbb76e88a4bdf3b4089421aacfa9a56ebaaaaa9a89abf46c439dbabe038d1f8364a90f4.42E+14403db81c51c4965f632ba69f2dae9a7520a09f0e7f259663c4999a948d5291634a5e8e3e5a7b813932798323980b9d6c1390bf14faa6ac4dba18993722798afc2bc1ab8919478f06e61b8e91c661bf0f47568a371fa28d5178d4a1c18b08b323b336bf9a54678b09831eadf03d1ea8097d259eb7367e90f266939ef3decc9d6e2034a53cc6dbb0a8de569bf56946996d9a108914ff40a0e38d62aab12d81bafba270a0317e958f9d30a0ae8c876aa73786e7bf19d5a382be3f07bf153b26a7789b249e0028938541519981394d09a920b37ea08624a284d7718f95f7cc0db77797f58331498789ac6719b518af359c81bbdaa9d3609c8f22a49cac0f6019a6412d49be74d607a1f1fd248b36160fbff14657a0e1c94b85f25a158cc092a99170f59789d7fe25a34a7ebf942ba11cb2ceb07fa59dd5d5af583ac39a41bb93829a1b019c95e4c7a1037612af883e1ba2b0f83c97879187bee648c289c2d02ba5c84c3ca082cbfd9e5cc7c6895349afad31b71c8c155622a0551d9ebf67c499a05a2108992a2e4b94209ce7b4115132bd42f459a69ba46bb5e19006a968518fa77c20e58e9d7281bad7bf0895ed499a8ed3407a8c903e91b395b8dc8cb0dd5d8427a40e87e7f8f0aeec43a29c761e4f8b7a9dd49a926b09b5ba96eb9322f694ad79e18595d911cea85b012dabd65eb6ae38d2f6aad19bbeb90eab98be855a5bbda26b90908d486da48c54e29f7873fa81883cce877302a686932533a6961067a87d896ab6862d51b8ba871ab69fef7cace0de6aa2006ece89b958b09868c095af35f3e4b54240dd853be33b8f7ea95ea1a73b55945ba90d985c86ada425fcb4b04af4fd885fb9ffa31bd040adbc0f3d876788ea8a28c7479c47ca21b03dd6c1b8e9d5588b6587ffa3ae25a3b17c178bbf34e69992611ea9ba849dadb9f18c5984fb93b7b2d6cca4a74c0a349ca7bf53907dedda88de97caabf8325c80efbc7789e533a69b06ae65bc63b64e980afc48af1864b1b9a177b4bbdc88c7a9f564988cb567c6a359a1fdbcd40f6187f11316b2a666449825ef2984b76e1bb0797c39bfd96cfc800d4d93997b4e74a6ae887fa7ed3aa8810c55b48c0f6dc6b692297ca4e36d78ba8cdaec9f92de51aec98477b3ab9b23afe8c88a8cfdacd7a400c1fdaa99eaa68610d0f1ad636ee5b8639a2a98860d57a40b7f729690e35f833c146a902157b4a191cbf6ac682dc5aa77b74fa91cd289aa5a1397bd751a2585aa4759bfe3cc7fb73d1e029256120dae955ac18c7a6fab8c308f3f90cb8428857fdb158ce14f61bc3ebfb8b3680cbaab7d9b2ea114aa36836656f68868aacf96c8cf7293eb436583542ba8a4b7c68c8d26d3f4b5570ec79b897ad5b8547d58aa28560889b716bab6a34ad6bf77ee6ead6cc13eabc01ec4aa38ee69ae866e5ca7bbaa179e0b6cbf8fa3b83ba6dd6f10b928
297,18/08/2021,34,Norway,fe0f89d8d8abaf7ae158a680160eaf16ce479c2a
854,26/08/2021,35,Costa Rica,fde7b4f4f8548736ce02905bc44980399bbd9f48bbeaad675ff0a6e1db418a1fa1a991689289beaaba99bd85d1a7b8ad65f89f00fdaeb0bba69080416e7aa445
1164,29/08/2021,36,United States of America,fdd28bf16d1f8623a7a89c687359a386a65cbce5769bbb4c896fbf7aced1b26378abab76255b8ffb94ab8693c51fa35494f2a458bc949ac8b827af8f5f688a1042fc96b920b3a679f4a1af23ee2b859cbd40a75447fe9279f0aa93508f96965183b38226d5d8b95e55d18983d30589e10421a17782a4b1673e7d9d3e518192434f878db2c0d6878bdb35b6475251b80514f4a5f69bc48b89102a813bb103832baf63bf41a202900cc75cb95b2afa88bafbc1a8fb114e9bf75ca0b4a71cfdbc8d4f71b7ed2c0e87118b1d970f84dc87cc14c2a9c8b8f2a1c7385db7bcd10aba3fb6a889ebccddbe9a5804bfc6cdf89b1ff47192c93.51E+086feeb3d63ba99f5eafbb8a15ea938f9a67f39a3c143d9ae3884082905ab388906c60809b97e29f2562e5951c287ba5b533f0b92315cdbb0afdcb900957609b4d6e768de4f6e4b66a4de8b0e2a758a33b1fd9b820e58ca2182e6ea32137b980ec88eba8c9986ab426df83abd2cc77a6541cceb430318f8e4e5903bc8a5c26af357439add020c1b270e78c80be7725a85b5bd9bada8f9190074bde82bb1b9891a6c1d09077331ba08669a3b0d8a121aa9c3a37aac4de18a7c7853799f951d897a6e8dfa6a0b1b1b59cd9d3aa61eef2900914e9bdac1fefbb5115ac919876df923ec49a810b2cc485bf86ebb47b015f94914c7f9550f14f8b0b77d0b79f35cbb28e78c792f9222a864ad1bcafe8833a8c337e76a7abd31fac352f0cb36c1999a8f233cf9f071a9abb7c8f92bef5d774b902ca0f83e552a2a850cee0b3f51a08a8a807d096a63ac7832a3b8c974d84918ab3c98fa47a8f56b3a0ffb6a63819e8b1f339e9b52930839c774277b12c3d589aa6afb786fbd526a39cb9a88dfc72698015a3bc981adff28cfcb637a2b9c6dea7dc7a9e9a5c70329b2e619b9c2d5fb7b08d04a2957beb07bf87ba748aa2a5c0b65759df81edafd4ab30a2dca44c3042acc98231b04a818786ea5ec5b1a6962185354fa581cc6b0f8300729d925ee02e9fb13f259c9703b7b69cca85add1071d9fda4f23bce16251be53fa4c94cf62258befaafc81365e328bff894189083921ad1a37faaa3aabe6ae39c576a30ed8c3bd0779e2b44654a7ac8441cfa3b2c2d3bb765fce81a07e3ca256c68691a4299eac46ae7b80fef1128180cd448893800e91eb6d92879bcc4bbad123f99c1787abbd354200b886e021b6113e3e8d637f6da98772c5b8b7a2678b272da9a9ac490d8388ac60aa82ac879c2f441ab0f6928c8bcea137a0ba456d8e27c453ac1ccc70b8f4002aa8a8dfe1bc28e24bb7477d33aad020a9a22e1ccc8cf4d8e0b2472e5599d597a7a6979d0cb09d7c76bb271415bfebef02a548e2928b497142b3a57b019f4b77aca2812b03a7272776b9e57bb68a07e936ae948a85a5758bbd9837334c90d58ee2af00b2e3a8b2b15ea84eb4be991b18f4b6276059aa6fac59afd1b3fe8a03185d8d342df6a5ecde10a109a367ac9ba42fa93d0c3eb3e1c920b5cf3547b903075dbd52c0b18fadd7efa9b693899265c56d83ca7bbcab5884c392e45b2981bb6d1582cf2688a942e8a1880d6f1da7ec158281c124ef999a635c92694e3f85776b52a7d3c678893f63e99129c73eb4b23b4faf0b5d82a4479563a1460d478242a027a798d77c92fa0c5597b7c6288676b9ffa24460e79041ec099a528d58a728c343b9c223daa360c8198e1499b29da8cf19bd536d8d8a26482ba12b0d6089089f8a99878454ab670fa7acf22fbba90905b68d6811f38bdac6389782e6f592f9ed9d9304dd0eaf16df5f9b6ff975b11e0f9ca9cbda37b32219eeb7ec46bf9b81f5df90b52a03a0cfc421a608c18ba295668a8d7d2d4e9e3ca0f9bef6f85bb2ff5c49ac20131daf5cb9f1a849ca8391c2dc5b84959c60951f27c999d58020bc9db579919f18ea85c134cdade5a4f6b75ab0eeb9a8e84c9cf6b7c4b65016aabe42fa66bdd0922ebaab4c17be77164fab1e0966b75ba2dc99d22143af94f9478dbb6659958f6fcfb5a886f1b46b0ba2949ca8f990189580822d08e28c35a0428e114955a33dac9483e9b0b5af22ae318be5b03c839157939c51e0679333370ebe9eb1c7b110819ab6e774f8a19bf1248e98172382bea792a329c96eaa1cf36bafe06f8d820337bbb7ba5f7f95e3038292c0e0b2a1086c28b2a5740a9b72d5cf93e22f43a40edb16b2d053ca847e20758c63b95d914e4728b9b07493ac508bd2a7694b709e0981488669c6da962ad2a9a6b1c2f3b4b4bd62ad4fbce7b2fe0657b7240fed89c658cb8191d144acb38561a8755bf0bf8a5a6fb4c3bf2295928458968d6838b7aeb775ace8935a808d697dad21dd10923fc828b75b12afb664bb49be26596b81b172c0af3c713586a1c564b6b47f3fa1b471749848202295adc4798ae7f8388d449a7ebad4ad94b2ca33a4a663839f94d6e699863a1d5b9474a886b940928fbcdfa272a351f4378264ab96b153b8989cff4e85b4ad84b185ace5e79e922cc2b4f277a1ada70e8f9648bc2aa00dfb15af871e2b9e15f387b177c851987b5f969d032271b30cba6e9c72d87eaad39ad89de098ee9df92591a87f0ed1a7d33f19aea47f7baeb7c59f814132a1aeb5f33b9bae51b8bd58fdcf919d80ba909a48d182179267a30d2afabb5be642ae5400cab16ef7dbbbabad269aaa0a97b4bfa623a165312a97d7b18ea178116581180f76a4518f46801ff7bba8982f978847645faa2152d49f5561a7bcb43c559b0bbe56b5cf77928ee080fca8c2f17bab1efc02999ad287996ff5f389438c1e8b5ff643b60384edb3305126a58f8d459a33c3a4810ffca5ae3bdc0bb8a3f7cfa9c1caa0b64c7fbc972cf429beb8cb05823a706cac761242a3f2de25ad80247d910ea4a2a6ec2714838efb3588090bb28ba7ed008029db929dd5f141b3f70c349a2a432680ca4787b0684aa2bed5f86ab58b9a3798e45a43bbf432693338d769f093293bc26ee40bb31339d959a8b5cbcb1ba92b9d24fa0bcd72b1890a0dfd0a8086b9895dbd80f871ab48fb88858f19e43b8d180b7afb39652dd1ea4e9c10b8db2f67bb5f1c1cf839d5cbbbb4eec5697aa5fe3ae9e26ed81f90c888d27f051bd8dc92f9460c07e8f39ec8fb14d69e4b7c3bd518fcb456986710ba4aa634ee0bb798ad0ac29504e9a163358b4ebdbd980d3110193eaf30487f427699a6880bbb5100f8ca7c238dfbf1d4fdd9fc6aa608fbfa4f082fa9023a112d709861fc155ba75da0ab23083d9a7fad5b79f8b0c7c824504a7809ce347a9d6e4b992635d41bfdedf17adaf8be980ce04e787d760199f9377d58b5dacde92d443fab373aecbac65809f9004bafd9bffedd8aef1dbe0a98305fdba0f8c4d9f4ddfaea59bb055ab8e8efbac3c950d8a84893eb2db2708960394619717736ba9b88ebf8808e06193e2b8f186ad1d31a3ee2409ac4cc8419e5e5e568b0b6242bf31424cb809352f85adf163859d6505a1a6037ca8b9f041b3961d4ebbf5c0e79f03278d82a8291c96c76bc6b614a87da829dd6e88c37956956e5e35899b6b4d86d195e0bdf56320a2e89409ae340cd99bd0e6a293e9927e9d89521d9a65da6cab9ecfeaac92ab0db950e9f8a433f409ab9a0c73af15316898ea1abc903a2c959ae9fafa894a51ecbc0411a7bc3734c68842a31ea733406eb4408.12E+09a4f4a4e232bba88460cfae47cdb3a156dd8c8a5309d8a29b04c59ba3fdcdb18fd687b66f3508a6d23c6d896a74d986a66519acbdd05d8a837bcca64f6e69a20859c0b06ff5e49961f99ca0717d4fb47f7b67a873ebd88591be998faacf64b2915f7a9dfc700693383745aa78654894c18e0583307bf7b91855c687ab123cadf2f32b885fb7198863486999ca489f98aa7ad593ae675982d4f46682641d558bb667d6b1010cfb9f45c4f1974e521fbd5d88f49e637f69a5a427988fcb6c11b580361e89ceb2cfa55373de80a0cdf08d619ca4b703fd4f88949f05b85eb076a07c16e59e2f98549947f9009ca9057cbde8311389d17dda931da997803fe1bf878b71b9bec8ead3a81b98c9b84158d396aa29cb94b7da79a07fdac0b3fd4691b93a270ea3ad39e78529d36696d7b1bdb92a146e9445d3b19c5793dea2690b6f9eb46955b42fc63dbde4d66d8bde1f1aba9931979d80cc058c868e64950fcc82aaaa9fc29dfeb8288ce2d91e99085d27b79c3326920bf8fc9e79362f81a53164b49ec21cbf0d5f2babb717b6b3ac34bbbac12cf1a0e5c7e4bab2e4c2b7ac61d988cd3c5b9e31729e807afa95aced75278808c90e8f0750b7821a4d919ab5c0118c1794209867c57793b2d8a1880fc68c93a035dd99c421f4a6516fcb9c5724e68df09c4d84916ced85bd4488b9e3dc8c8425334f8769159580f1f161bbe25c34baa6eb0f834f8af2a83c6b47b918ce05bc60a54e81b7d6d78a06cabf89d8d76b9a1d1af582c8122e96d340538164e7f185d58239893c408f84daa95fbadc72528753048c80a0ab479618eed88be1fefa93de1f69b8395837889387a2ac334c5e832bdd3e84bf5c1eb7b76147b7a7b170bee382e8a04c6acd97843437a5227a8380a1133fb02d9df387147945b96ef8508491dfe398f2e235a1a0c2069983001f9395b6b1b358539abf03e86fbe2450db9a29ef4fa9bc9e62bfb8d776ba5a9d1194d7a1fd9e488ad2ab07e30bbcbdd010ade92c98857b24cea0df5023bf3bacd393754226969bc79e8dad5096b90722888ef3ddb5ac3ba5d7b0354929bd65b645947f250baa0acdad8f6c207e9a68520ca79f1aacba22601fb3bf982f97caaf6496ea3774abe6ad60b9babb129cecd74089885df2bd633098a1267f5e8bd82bbbac8dcb079763d99fb3b618f1bc9eacedabe29e35ba2202f0a4adde6a889fb95e9d560f8a925b6b9a97e9d8dca404ad54a387f36895224ac1aac7be9a95cb2e008f2a4cf1a812875ea4a11204b683fdabae75f086925542599cb43ec782d0066faf1702e49dee6f2a9f881209a1401bfe90219b11b978568e913e8650ab1748ab9346d1e49260c257b4f3d6f3a4726ef2a5e1e195b41e31e5b009697b885eef58abb3448d89f7d3c0b4d13927b00bd4bfba410a1da4d3e8e7b73157c29144bec2b66df0288bbcc213a9e0c5b890098c8980ad202186059.42E+085dc1b936eba5a1f321a797d06ae29ea09917bed277b2a40a40d2bc0f68a3a9f7fcc78094f1b6852f25ebafbf1e93a20413319f31425ea2499a50b336cb7d9a4a3ddda517e70e92eeda329301df0eb62bb724b923ee36b78ee970a3ce7c4381239f1b94f26155b0d78626852c266f82b82e599dd440bfa3dac6a9bf4068de8dff1601af65a03c8e0dbd278854e5839513eea191cb2ccc84052516bc3975ac8ee397b390d117bd8673a1cfa2998fa0808e9aabbbc06102908c15d09eefee4daa375db19e5cc3d29c74d5a48e63fee8a783ef58b2e4ba0990e094658f7bec08bd584af68edcb9c4ae76b839a31da78d862ab764b09e8af984fd8fdb9af5ce88b2d2d48e86d90374b9f9e0b3bc36519f8d6d86beb6b273eb94a5b85986489cc78e3129c18921b2378579fffdbca9e0c9b2e2f44785c20d6091b3a965b66ba94295cfd0b9be164a1889070a04af068a4d985439e39a7d10a19526000e98672b19ad6822a1a18963f99b2505aeac84aaa682fc13deb1050df283d5cb0c90b95b5198472b5ab512d50e88de4cae932499e3ae5b14c296f37ea6a169803db6081e64806d0484831e37ae87a8420caa85f269955b970999958cd9bd17c9bba5250b5287dd80ed8c0e6621a0059db1a83833ff931cd0d0a0aca405952b8ae792c94db48e0d0440b43b97c394b75665b27d2900b5b5bf808e3b66ceb5de89619ed195e689cd37838c30fa21b2908eeda1902f8b907dfb0993ac1e51af235a958c8b3f8380bc796da564f67285189ebcb6dccb328e41c61aac9fa662a57136f29a9036a584986f469e8af1338458e8cebaf29bf58c545a1e889447dfa9088914a7a0fcaf90e7370c8708db3c8f5c558a90d3c1baad24858c9ada1da0a372cf5887d61d2191480735aed28bf0bec4850190fc4231a4a5e5968a1cf0d6a74f098680b0e349b08066018185efc18bbc7c8f802828c2b938250994ece76289358aca81548f5dad55680fbcd62bc89bd54350b9ac214fbabafe22995e4823b267325e82a403d5b8cc95528745fae9856b0207ba330c75b54f9a058923fa9696da7e778e2460d78e051d128f68ad63995145eb84032924a99b49e1ada36f0fa66e09efac4ebe68be8603eabfde4218823151b88f7aaca099089d1eac0a99bfa65fba0eb8da25e983b1c06cb7e159309a1c5ad9b0ed57f8aa95254f89e2d5e7b30fc8f98e0ca2d2b31c3a19b6b9f5c4ae55ec73a0b1027c9e496a6490831a7dbef7d5868b79c3b5be26b80ebd5c489d926e9e9f9644c0529886d73abb64c02d9d1f2d42913adb77b70069e49cf94d70b563b25f85405a2582649a72b7b2f050b893db24ada4ad6882dffbe6b0a7f7999bcd7524b14e827b846fb670a464e94387c1d2bf962f5ed29ea4d6c4bd11d8669a32473d9583da58ba5ac671a309ee51a20f5681b66fd594b9b2681e8f10c271b3df6c2b97f16f1bb743df179192fb17a2a2f1f9919013909bf78898a30f3c05849b485a867ac2e0b8f5ae5991bed1fd94d88d619cca108a9aff9a46a6675.46E+11b10a870203c78e38788fa050b9bbb618cc508a3caf59a0e32f4d83f3c8a5a70f56348ee8061ba8d3fe609ca9199f8cdcfb0a9d5b149b898cc283a1efd675b53801bda972a8359a9a05b09cb25783ba5b7efd90dcbfc69aa4a9d2865fbeccb9767ae0a812c853bf0713b993f83bfaa2cb05c099f53fd2b125a55ca0896834b82c377f9734441bbc428ef6940874d2a0942b90990d27f1b06996e0ac065618a9ca4454913ff0f484896172adad2.95E+0803f088b7f9058aafe092bb5299c2ba6371989ff24b5eb7b8ae40a70d97ea86f363f6b110aee5b759163f858a719885d66566b59b333695222d919b86d8878f0f688bb68c167da9ee0b1baaa953efbf81685da6aaa31b8d9d44d99ccde97294b3365488b05440bc19514aae79a885872fb598a240fd49818b4433b9f5754895cad9e9acf4be2badc7e4d9a4dbd1b2a0f1ecd9815a45658a2e2ced8f29f48fad17821c9e3659ebad0208a4896f4c939fed314a8fea4918826f4c678980fea59a42f2e38874558a89773dfca7daebfe816bb99aa2a85511820403828e8f90b0a0caa88eb4022d7491aed4fa82427a6f89452ee1854107cc869b6c0fa5f30e9f8629ee9c946d75f59f96f5e096a3c635863a25b39d8a37a8abdca57dbb0709f4b2cb9d078876006fae68a069979ee162b61c3e1e95cf7de9992d1a4ea29290b39f9aa6d285b2cfe5ab4940c8b6a08e2e816350edad0d4a9c822de225bb2d6942b0726f2ebc1c2ceebc2327779bd7e2ddadf4f703a8221c248d0a2aa8a5afaf268ecf3f18a8404c4182f765c192dbd975a60a38c5b0a17df89cae6128a56b0f358c0e2d518b327093bf68e8b6addce0dfb7c47ecdb179a1bf915f0a27a969b06e98ceed758d06cce0b9d66ba390f342d786a12b599ac8149bab7eba9e9f6ae6f19ddd6aa3a258a395be67f2328856da54b39c7b46838f4bfb95929c2687e17632b51ae0d69715b0a68507d8b6a49077d99c73a3479666297fba4fa68eb97864078334e1c397701b0ba8d0a1049a4f7c13841335c9ab59c42bb2f0c9ae9d12a064aa72471dabd7bdd9b75689f1bc95a18f9604ce368c977318b9346764b445d04ea6ff3ebdb4f93749b189e5dc939d1184a1a05e8f9a2c7553bf62755d9bdb4712b8607e36a561e5a88a2ea74480c40513b47bac998992fc10a2d65571ba4befac9b8ca0bcb0012e2eb449e76899a5a7adb256b24ba5387185ad7e8f91a17c5e9bb0505269a1da23e2a0d7b580a6cb7c0da24335f28f9d72318dab67eebce8483ea20c894f88c62bf481d857cebea923998dcd6dd8ae31d650a30552f5b8247c3d8e8404e9bfbc3d8190985996a821ee71998ddfcca159d4828446366896bcd9a482f3a4d69ce249c59971dc6db6777d8b9b3c3489a84c926d85a0dd639e9f9dff8a5dd7e59595da67a162c1b09f56e3adbafbfdb998b2554abad302fd98a8ee0b86c329ea94ed7e639593bb8a873a9a689f1ecffbb6a5061f991b6e7ea6b2ac61adb781bc9c83293ca7e352abb9ce2279a89b5b5980073dfcae33a585bafe6492ad51929d8fac76b18914d579ad8eaeb9bdab66d89e8e6f379c242d34abd5a0579f71a0619ec16029b8fc0caf91524d9684816e19975e13b4ace0b51bb3b6c837a79b4858b4150ae3b3c9d78290736f6ba28fb064b76f1c03891cdb51909b37e1b3564d71adefa417b0037e4b95f8d534a2652aab9a71399f99dc55e0a0141199ac26689fb0d65c1aa2653a4dbecfa2de86b08f609229e7cea581b4a98d5832b0891c5d8f9657b4d69b8c124daa91bf588e69b92583da1774a41d586f9d4d3dc082f79d31bddb20aab49840a58d3bd6cda9c898e49c25f0dd9b8255cc82352ec5a86c45bbac0464f5acc1828a8d83f376b26c1d4baa2cfdd899f08f949cbbcbcea272975e8a5cd51f827ae6dd9841e9629d0662d081c9cc94ae86e4e38023f3069a5b711ebb274c3a87532c4584034a9ca9acc25c958fc1c89b59d9578b7900cebb6a4da2bfa7972e9628e4dc8db81d7f8316c1399432d295a4bf57d69fef142ba9a1540199a542b2aa63f45991ef61d9a7629723bd5349398c1e8d44b18cd3cf87dae5a381f8a0d38b0a9cbc8a44b210bace6ae79bdd9239892b707895710750b85367beafd6531cae2c8ac4823c3650a2c4bd138b08b6de97cc09eeb4cad676a5ca807f8219d6279b72505d9420ec09ba712af597a66db9a1d859eb859e806eb661b3eb9ac883ad9ba8c778b589
1235,30/08/2021,36,Turkey,fd58920de416bd21f9e99823f970b541146bb32049a99b6bca18bbb5
