,DATE,WEEK,COUNTRY,size
1289,31/08/2021,36,Sweden,4108
758,24/08/2021,35,Sweden,3739
925,26/08/2021,35,United States of America,3505
1232,30/08/2021,36,Sweden,3397
690,23/08/2021,35,Sweden,2967
385,19/08/2021,34,United States of America,2789
698,23/08/2021,35,United States of America,2741
1262,31/08/2021,36,Germany,2713
1158,29/08/2021,36,Sweden,2635
1076,28/08/2021,35,Sweden,2416
1001,27/08/2021,35,Sweden,2374
616,22/08/2021,35,United States of America,2317
918,26/08/2021,35,Sweden,2203
1007,27/08/2021,35,United States of America,2108
823,25/08/2021,35,Sweden,2096
609,22/08/2021,35,Sweden,1941
535,21/08/2021,34,United States of America,1870
1187,30/08/2021,36,Germany,1799
1238,30/08/2021,36,United Kingdom of Great Britain and Northern Ireland,1611
1164,29/08/2021,36,United States of America,1590
924,26/08/2021,35,United Kingdom of Great Britain and Northern Ireland,1562
282,17/08/2021,34,Sweden,1550
461,20/08/2021,34,United States of America,1547
1116,29/08/2021,36,Germany,1526
1239,30/08/2021,36,United States of America,1516
527,21/08/2021,34,Sweden,1511
1082,28/08/2021,35,United Kingdom of Great Britain and Northern Ireland,1424
1083,28/08/2021,35,United States of America,1419
1031,28/08/2021,35,Germany,1392
455,20/08/2021,34,Sweden,1379
1006,27/08/2021,35,United Kingdom of Great Britain and Northern Ireland,1366
697,23/08/2021,35,United Kingdom of Great Britain and Northern Ireland,1349
1163,29/08/2021,36,United Kingdom of Great Britain and Northern Ireland,1274
957,27/08/2021,35,Germany,1190
867,26/08/2021,35,Germany,1179
384,19/08/2021,34,United Kingdom of Great Britain and Northern Ireland,1170
830,25/08/2021,35,United States of America,1166
721,24/08/2021,35,Germany,1147
648,23/08/2021,35,Germany,1110
460,20/08/2021,34,United Kingdom of Great Britain and Northern Ireland,1096
615,22/08/2021,35,United Kingdom of Great Britain and Northern Ireland,1092
10,01/08/2021,32,United Kingdom of Great Britain and Northern Ireland,1082
534,21/08/2021,34,United Kingdom of Great Britain and Northern Ireland,1047
764,24/08/2021,35,United States of America,1043
829,25/08/2021,35,United Kingdom of Great Britain and Northern Ireland,1038
263,16/08/2021,34,United Kingdom of Great Britain and Northern Ireland,1026
785,25/08/2021,35,Germany,1019
220,15/08/2021,34,United Kingdom of Great Britain and Northern Ireland,1017
155,13/08/2021,33,United Kingdom of Great Britain and Northern Ireland,1012
378,19/08/2021,34,Sweden,1007
103,09/08/2021,33,United Kingdom of Great Britain and Northern Ireland,1006
258,16/08/2021,34,Sweden,977
19,02/08/2021,32,United Kingdom of Great Britain and Northern Ireland,958
90,08/08/2021,33,United Kingdom of Great Britain and Northern Ireland,957
763,24/08/2021,35,United Kingdom of Great Britain and Northern Ireland,950
114,10/08/2021,33,United Kingdom of Great Britain and Northern Ireland,907
66,06/08/2021,32,United Kingdom of Great Britain and Northern Ireland,882
1294,31/08/2021,36,United Kingdom of Great Britain and Northern Ireland,872
139,12/08/2021,33,United Kingdom of Great Britain and Northern Ireland,870
54,05/08/2021,32,United Kingdom of Great Britain and Northern Ireland,870
170,14/08/2021,33,United Kingdom of Great Britain and Northern Ireland,835
300,18/08/2021,34,Sweden,813
291,18/08/2021,34,Germany,782
221,15/08/2021,34,United States of America,759
302,18/08/2021,34,United Kingdom of Great Britain and Northern Ireland,748
127,11/08/2021,33,United Kingdom of Great Britain and Northern Ireland,723
76,07/08/2021,32,United Kingdom of Great Britain and Northern Ireland,714
41,04/08/2021,32,United Kingdom of Great Britain and Northern Ireland,706
489,21/08/2021,34,Germany,680
284,17/08/2021,34,United Kingdom of Great Britain and Northern Ireland,673
565,22/08/2021,35,Germany,670
1295,31/08/2021,36,United States of America,649
412,20/08/2021,34,Germany,644
274,17/08/2021,34,Germany,628
29,03/08/2021,32,United Kingdom of Great Britain and Northern Ireland,624
335,19/08/2021,34,Germany,609
167,14/08/2021,33,Sweden,544
215,15/08/2021,34,Sweden,529
238,16/08/2021,34,Germany,511
190,15/08/2021,34,Germany,500
160,14/08/2021,33,Germany,473
848,26/08/2021,35,Canada,349
264,16/08/2021,34,United States of America,326
836,26/08/2021,35,Australia,312
153,13/08/2021,33,Sweden,301
865,26/08/2021,35,France,294
549,22/08/2021,35,Canada,285
631,23/08/2021,35,Canada,267
308,19/08/2021,34,Australia,259
360,19/08/2021,34,Norway,257
901,26/08/2021,35,Norway,244
317,19/08/2021,34,Canada,237
334,19/08/2021,34,France,235
477,21/08/2021,34,Canada,230
1044,28/08/2021,35,Ireland,228
965,27/08/2021,35,Ireland,220
1090,29/08/2021,36,Australia,211
944,27/08/2021,35,Canada,210
626,23/08/2021,35,Australia,208
876,26/08/2021,35,Ireland,207
541,22/08/2021,35,Australia,206
1197,30/08/2021,36,Ireland,197
11,01/08/2021,32,United States of America,195
933,27/08/2021,35,Australia,194
775,25/08/2021,35,Canada,194
171,14/08/2021,33,United States of America,191
1124,29/08/2021,36,Ireland,190
144,13/08/2021,33,Germany,188
20,02/08/2021,32,United States of America,185
672,23/08/2021,35,Norway,182
917,26/08/2021,35,Spain,181
1103,29/08/2021,36,Canada,176
574,22/08/2021,35,Ireland,175
1019,28/08/2021,35,Canada,174
391,20/08/2021,34,Australia,167
564,22/08/2021,35,France,167
646,23/08/2021,35,France,167
657,23/08/2021,35,Ireland,162
156,13/08/2021,33,United States of America,160
497,21/08/2021,34,Ireland,159
140,12/08/2021,33,United States of America,159
91,08/08/2021,33,United States of America,156
67,06/08/2021,32,United States of America,156
55,05/08/2021,32,United States of America,152
342,19/08/2021,34,Ireland,151
104,09/08/2021,33,United States of America,151
115,10/08/2021,33,United States of America,146
1175,30/08/2021,36,Canada,145
470,21/08/2021,34,Australia,144
419,20/08/2021,34,Ireland,142
956,27/08/2021,35,France,139
592,22/08/2021,35,Norway,139
398,20/08/2021,34,Canada,138
1169,30/08/2021,36,Australia,138
137,12/08/2021,33,Sweden,138
488,21/08/2021,34,France,132
1142,29/08/2021,36,Norway,131
1014,28/08/2021,35,Australia,131
411,20/08/2021,34,France,128
192,15/08/2021,34,Ireland,128
128,11/08/2021,33,United States of America,124
878,26/08/2021,35,Italy,124
984,27/08/2021,35,Norway,123
